"No.","Time","Source","Destination","Protocol","Length","Info"
"391","94.848092820","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12157 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"393","95.261690540","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12259 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"395","95.665399361","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12361 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"397","95.974747578","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12463 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"399","96.382128165","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12565 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"402","96.797005307","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12667 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"407","97.206634574","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12769 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"409","97.612791124","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12871 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"411","98.023697858","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=12973 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"413","98.432803945","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13075 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"415","98.840428697","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13177 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"417","99.249423387","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13279 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"419","99.659116350","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13381 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"421","99.967721664","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13483 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"423","100.377356799","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13585 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"425","100.792119261","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13687 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"427","101.196468178","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13789 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"429","101.604147686","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13891 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"434","102.013670236","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=13993 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"436","102.425620889","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14095 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"438","102.844534088","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14197 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"440","103.245897570","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14299 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"442","103.652502570","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14401 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"444","104.062140149","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14503 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"446","104.369566752","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14605 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"449","104.780054648","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14707 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"451","105.188734842","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14809 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"453","105.598209132","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=14911 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"455","106.007735454","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15013 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"457","106.417275255","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15115 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"461","106.826364090","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15217 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"467","107.236196037","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15319 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"469","107.647263756","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15421 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"471","108.060078205","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15523 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"473","108.465465941","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15625 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"475","108.772696360","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15727 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"477","109.182045844","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15829 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"481","109.562008279","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=15931 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
"484","110.065731638","192.168.4.1","192.168.4.2","TCP","156","80  >  44858 [PSH, ACK] Seq=16033 Ack=83 Win=5662 Len=102 [TCP PDU reassembled in 3943]"
