frame_number;seconds;resolution
719;28.76;640x480
720;28.8;640x480
721;28.84;640x480
722;28.88;640x480
723;28.92;640x480
724;28.96;640x480
725;29;640x480
726;29.04;640x480
727;29.08;640x480
728;29.12;640x480
729;29.16;640x480
730;29.2;640x480
731;29.24;640x480
732;29.28;640x480
733;29.32;640x480
734;29.36;640x480
735;29.4;640x480
736;29.44;640x480
737;29.48;640x480
738;29.52;640x480
739;29.56;640x480
740;29.6;640x480
741;29.64;640x480
742;29.68;640x480
743;29.72;640x480
744;29.76;640x480
745;29.8;640x480
746;29.84;640x480
747;29.88;640x480
748;29.92;640x480
749;29.96;640x480
750;30;640x480
751;30.04;640x480
752;30.08;640x480
753;30.12;640x480
754;30.16;640x480
755;30.2;640x480
756;30.24;640x480
757;30.28;640x480
758;30.32;640x480
759;30.36;640x480
760;30.4;640x480
761;30.44;640x480
762;30.48;640x480
763;30.52;640x480
764;30.56;640x480
765;30.6;640x480
766;30.64;640x480
767;30.68;640x480
768;30.72;640x480
769;30.76;640x480
770;30.8;640x480
771;30.84;640x480
772;30.88;640x480
773;30.92;640x480
774;30.96;640x480
775;31;640x480
776;31.04;640x480
777;31.08;640x480
778;31.12;640x480
779;31.16;640x480
780;31.2;640x480
781;31.24;640x480
782;31.28;640x480
783;31.32;640x480
784;31.36;640x480
785;31.4;640x480
786;31.44;640x480
787;31.48;640x480
788;31.52;640x480
789;31.56;640x480
790;31.6;640x480
791;31.64;640x480
792;31.68;640x480
793;31.72;640x480
794;31.76;640x480
795;31.8;640x480
796;31.84;640x480
797;31.88;640x480
798;31.92;640x480
799;31.96;640x480
800;32;640x480
801;32.04;640x480
802;32.08;640x480
803;32.12;640x480
804;32.16;640x480
805;32.2;640x480
806;32.24;640x480
807;32.28;640x480
808;32.32;640x480
809;32.36;640x480
810;32.4;640x480
811;32.44;640x480
812;32.48;640x480
813;32.52;640x480
814;32.56;640x480
815;32.6;640x480
816;32.64;640x480
817;32.68;640x480
818;32.72;640x480
819;32.76;640x480
820;32.8;640x480
821;32.84;640x480
822;32.88;640x480
823;32.92;640x480
824;32.96;640x480
825;33;640x480
826;33.04;640x480
827;33.08;640x480
828;33.12;640x480
829;33.16;640x480
830;33.2;640x480
831;33.24;640x480
832;33.28;640x480
833;33.32;640x480
834;33.36;640x480
835;33.4;640x480
836;33.44;640x480
837;33.48;640x480
838;33.52;640x480
839;33.56;640x480
840;33.6;640x480
841;33.64;640x480
842;33.68;640x480
843;33.72;640x480
844;33.76;640x480
845;33.8;640x480
846;33.84;640x480
847;33.88;640x480
848;33.92;640x480
849;33.96;640x480
850;34;640x480
851;34.04;640x480
852;34.08;640x480
853;34.12;640x480
854;34.16;640x480
855;34.2;640x480
856;34.24;640x480
857;34.28;640x480
858;34.32;640x480
859;34.36;640x480
860;34.4;640x480
861;34.44;640x480
862;34.48;640x480
863;34.52;640x480
864;34.56;640x480
865;34.6;640x480
866;34.64;640x480
867;34.68;640x480
868;34.72;640x480
869;34.76;640x480
870;34.8;640x480
871;34.84;640x480
872;34.88;640x480
873;34.92;640x480
874;34.96;640x480
875;35;640x480
876;35.04;640x480
877;35.08;640x480
878;35.12;640x480
879;35.16;640x480
880;35.2;640x480
881;35.24;640x480
882;35.28;640x480
883;35.32;640x480
884;35.36;640x480
885;35.4;640x480
886;35.44;640x480
887;35.48;640x480
888;35.52;640x480
889;35.56;640x480
890;35.6;640x480
891;35.64;640x480
892;35.68;640x480
893;35.72;640x480
894;35.76;640x480
895;35.8;640x480
896;35.84;640x480
897;35.88;640x480
898;35.92;640x480
899;35.96;640x480
900;36;640x480
901;36.04;640x480
902;36.08;640x480
903;36.12;640x480
904;36.16;640x480
905;36.2;640x480
906;36.24;640x480
907;36.28;640x480
908;36.32;640x480
909;36.36;640x480
910;36.4;640x480
911;36.44;640x480
912;36.48;640x480
913;36.52;640x480
914;36.56;640x480
915;36.6;640x480
916;36.64;640x480
917;36.68;640x480
918;36.72;640x480
919;36.76;640x480
920;36.8;640x480
921;36.84;640x480
922;36.88;640x480
923;36.92;640x480
924;36.96;640x480
925;37;640x480
926;37.04;640x480
927;37.08;640x480
928;37.12;640x480
929;37.16;640x480
930;37.2;640x480
931;37.24;640x480
932;37.28;640x480
933;37.32;640x480
934;37.36;640x480
935;37.4;640x480
936;37.44;640x480
937;37.48;640x480
938;37.52;640x480
939;37.56;640x480
940;37.6;640x480
941;37.64;640x480
942;37.68;640x480
943;37.72;640x480
944;37.76;640x480
945;37.8;640x480
946;37.84;640x480
947;37.88;640x480
948;37.92;640x480
949;37.96;640x480
950;38;640x480
951;38.04;640x480
952;38.08;640x480
953;38.12;640x480
954;38.16;640x480
955;38.2;640x480
956;38.24;640x480
957;38.28;640x480
958;38.32;640x480
